"Id","Nom","Ingredients","Sauce","Prix","Image"
"1","Big burger","Steak, cheddar, galette pommes de terre, 2 bacons et sauce algérienne","","7,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"2","Hot beef burger","3 steaks, cheddar, emmental, salade et oignons rouges","","7,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"3","Mix burger","2 steaks, poulet pané, cheddar, salade et sauce poivre","","7,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"4","Deli pepper burger","2 steaks, cordon bleu, cheddar, salade et sauce andalouse","","5,80 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"5","Boursin burger","2 steaks, fromage Boursin, cheddar et bacon","","5,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"6","Suisse cheeseburger","2 steaks, fromage raclette, cheddar, salade et sauce biggy","","5,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"7","Chicken burger","Poulet pané, cheddar, galette pommes de terre, bacon et sauce samouraï","","5,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"8","Crunchi burger","Steak, cheddar, salade et sauce biggy","","5,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"9","Oriental burger","Kefta, cheddar, emmental, oignons et sauce samouraï","","5,40 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"10","Steak house burger","Steak, bacon, oignons frits, cheddar et sauce barbecue","","4,80 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"11","Double pepper burger","2 steaks, bacon, salade, tomates et sauce poivre","","5,50 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"12","Hamburger","Steak, cornichons, oignons et ketchup/moutarde","","1,50 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"13","King corner burger","3 steaks, 3 cheddar, tomates, salade et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","6,50 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"14","Authentique burger","1 pain en plus, 2 steaks, cheddar, salade et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","4,00 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"15","Crusty beef burger","Steak, cheddar, galette de pommes de terre, tomates et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","4,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"16","Chicken bacon burger","Poulet pané, cheddar, bacon, salade et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","4,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"17","Cheeseburger","Steak, cheddar, cornichons, oignons et ketchup/moutarde","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","2,00 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"18","Double cheeseburger","2 steaks, cheddar, cornichons, oignons et ketchup/moutarde","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","2,50 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"19","Chicken wrap","Tortilla, poulet pané, salade, tomates et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","4,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
"20","Crusty chicken burger","Poulet pané, cheddar, galette de pommes de terre, tomates et sauce au choix","Sans Sauce, Sauce Mayonnaise, Sauce Ketchup, Sauce Blanche, Sauce Samouraï et plus","4,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/americain.jpg"
