"Id","Nom","Ingredients","Boissons","Sauce","Prix","Image"
"1","Menu big burger","Steak, cheddar, galette pommes de terre, 2 bacons, sauce algérienne, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","8,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"2","Menu hot beef burger","3 steaks, cheddar, emmental, salade, oignons rouges, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","8,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"3","Menu mix burger","2 steaks, poulet pané, cheddar, salade, sauce poivre, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","8,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"4","Menu deli pepper burger","2 steaks, cordon bleu, cheddar, salade, sauce andalouse, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","7,30 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"5","Menu boursin burger","2 steaks, fromage Boursin, cheddar, bacon, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"6","Menu suisse cheeseburger","2 steaks, fromage raclette, cheddar, salade, sauce biggy, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"7","Menu chicken burger","Poulet pané, cheddar, galette pommes de terre, bacon, sauce samouraï, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"8","Menu crunchi burger","Steak, cheddar, salade, sauce biggy, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"9","Menu oriental burger","Kefta, cheddar, emmental, oignons, sauce samouraï, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,90 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
"10","Menu steak house burger","Steak, bacon, oignons frits, cheddar, sauce barbecue, 1 portion de frites et 1 boisson 33cl","Coca-Cola 33cl, Coca-Cola zero sucres 33cl, Coca-Cola light 33cl, Fanta Orange 33cl, Sprite Citron-Citron vert 33cl et plus","","6,80 €","https://burgerstreetcaen.fr/storage/app/media/burgers/montagnard.jpg"
